# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield_total_yield_err
0,103411.487,321.652,36.513,3.466,103448.000,321.633
1,167682.868,409.597,65.132,4.629,167748.000,409.571
2,139807.669,373.998,50.329,4.069,139858.000,373.976
3,160074.537,400.202,65.461,4.640,160140.000,400.175
4,131279.931,362.408,45.066,3.850,131325.000,362.388
5,90324.107,300.612,32.895,3.289,90357.000,300.594
6,152732.067,390.903,54.934,4.251,152787.000,390.880
7,146748.712,383.170,53.289,4.187,146802.000,383.147
8,108402.855,329.325,39.145,3.588,108442.000,329.305
9,133718.661,365.765,49.342,4.029,133768.000,365.743
10,141521.684,376.284,51.316,4.109,141573.000,376.262
11,144127.353,379.731,51.645,4.122,144179.000,379.709
12,156257.450,395.393,58.553,4.389,156316.000,395.368
13,160990.802,401.336,60.197,4.450,161051.000,401.312
14,134416.658,366.718,49.342,4.029,134466.000,366.696
15,152253.051,390.288,53.947,4.213,152307.000,390.265
16,148679.382,385.682,53.618,4.200,148733.000,385.659
17,122052.607,349.447,45.395,3.864,122098.000,349.425
18,122691.908,350.356,43.092,3.765,122735.000,350.336
19,107426.526,327.840,39.474,3.603,107466.000,327.820
20,139308.343,373.331,50.658,4.082,139359.000,373.308
21,126551.576,355.822,43.421,3.779,126595.000,355.802
22,151629.737,389.491,55.263,4.264,151685.000,389.468
23,123040.542,350.848,40.461,3.648,123081.000,350.829
24,101634.116,318.872,33.882,3.338,101668.000,318.854
25,117517.919,342.894,44.079,3.808,117562.000,342.873
26,123232.263,351.129,44.737,3.836,123277.000,351.108
27,152612.052,390.748,53.947,4.213,152666.000,390.725
28,133524.315,365.498,48.684,4.002,133573.000,365.476
29,114273.225,338.125,41.776,3.707,114315.000,338.105
30,160887.450,401.205,58.553,4.389,160946.000,401.181
31,130372.977,361.160,48.026,3.975,130421.000,361.138
32,136030.343,368.914,50.658,4.082,136081.000,368.892
33,137411.987,370.779,49.013,4.015,137461.000,370.757
34,129827.974,360.405,48.026,3.975,129876.000,360.383
35,165053.524,406.373,64.474,4.605,165118.000,406.347
36,138415.655,372.131,49.342,4.029,138465.000,372.109
37,144905.039,380.756,52.961,4.174,144958.000,380.734
38,151148.753,388.875,56.250,4.302,151205.000,388.851
39,164704.485,405.939,61.513,4.498,164766.000,405.914
40,185323.988,430.607,74.013,4.934,185398.000,430.579
41,146859.422,383.321,56.579,4.314,146916.000,383.296
42,176572.961,420.320,72.039,4.868,176645.000,420.292
43,156780.737,396.048,55.263,4.264,156836.000,396.025
44,138708.986,372.524,49.013,4.015,138758.000,372.502
45,131575.342,362.826,50.658,4.082,131626.000,362.803
46,146095.380,382.317,53.618,4.200,146149.000,382.294
47,143293.674,378.630,50.329,4.069,143344.000,378.608
48,155652.438,394.625,57.566,4.352,155710.000,394.601
49,124863.619,353.448,46.382,3.906,124910.000,353.426
50,158332.776,398.008,58.224,4.376,158391.000,397.984
51,138093.331,371.698,49.671,4.042,138143.000,371.676
52,144075.037,379.665,52.961,4.174,144128.000,379.642
53,142742.696,377.905,52.303,4.148,142795.000,377.882
54,136857.369,370.037,52.632,4.161,136910.000,370.014
55,167753.865,409.683,65.132,4.629,167819.000,409.657
56,153382.751,391.737,56.250,4.302,153439.000,391.713
57,198525.127,445.688,84.868,5.284,198610.000,445.657
58,143382.037,378.751,52.961,4.174,143435.000,378.728
59,157400.458,396.837,59.539,4.426,157460.000,396.812
60,137786.038,371.290,52.961,4.174,137839.000,371.267
61,137771.013,371.266,50.987,4.095,137822.000,371.244
62,159082.447,398.949,58.553,4.389,159141.000,398.925
63,113675.576,337.244,43.421,3.779,113719.000,337.222
64,145189.698,381.129,52.303,4.148,145242.000,381.106
65,147076.723,383.600,54.276,4.225,147131.000,383.577
66,144065.023,379.650,51.974,4.135,144117.000,379.627
67,129530.645,359.993,48.355,3.988,129579.000,359.971
68,114058.593,337.813,44.408,3.822,114103.000,337.791
69,174411.252,417.735,68.750,4.756,174480.000,417.708
70,150725.094,388.331,56.908,4.327,150782.000,388.307
71,134758.316,367.183,48.684,4.002,134807.000,367.161
72,166910.524,408.652,64.474,4.605,166975.000,408.626
73,140521.000,374.950,50.000,4.056,140571.000,374.928
74,185178.026,430.442,76.974,5.032,185255.000,430.413
75,157718.435,397.234,57.566,4.352,157776.000,397.210
76,157641.418,397.136,56.579,4.314,157698.000,397.112
77,162931.805,403.747,60.197,4.450,162992.000,403.723
78,148699.739,385.711,55.263,4.264,148755.000,385.688
79,123704.938,351.802,45.066,3.850,123750.000,351.781
80,148867.740,385.929,55.263,4.264,148923.000,385.905
81,154553.095,393.229,56.908,4.327,154610.000,393.205
82,159622.778,399.625,58.224,4.376,159681.000,399.601
83,175764.906,419.351,68.092,4.733,175833.000,419.324
84,157070.422,396.416,56.579,4.314,157127.000,396.392
85,159520.765,399.496,57.237,4.339,159578.000,399.472
86,133827.339,365.916,50.658,4.082,133878.000,365.893
87,161480.780,401.943,58.224,4.376,161539.000,401.919
88,131388.641,362.564,48.355,3.988,131437.000,362.542
89,178039.632,422.061,72.368,4.879,178112.000,422.033
90,146930.735,383.411,55.263,4.264,146986.000,383.388
91,186178.343,431.600,75.658,4.989,186254.000,431.572
92,152665.750,390.820,56.250,4.302,152722.000,390.797
93,145665.367,381.753,52.632,4.161,145718.000,381.730
94,178755.921,422.904,69.079,4.767,178825.000,422.877
95,134423.343,366.730,50.658,4.082,134474.000,366.707
96,132784.669,364.488,50.329,4.069,132835.000,364.465
97,163621.173,404.604,62.829,4.546,163684.000,404.579
98,177968.964,421.977,72.039,4.868,178041.000,421.949
99,158700.801,398.473,60.197,4.450,158761.000,398.448
100,153649.778,392.081,58.224,4.376,153708.000,392.056
101,148774.739,385.808,55.263,4.264,148830.000,385.785
102,157009.763,396.341,57.237,4.339,157067.000,396.317
103,141335.093,376.046,56.908,4.327,141392.000,376.021
104,149015.095,386.123,56.908,4.327,149072.000,386.098
105,156628.078,395.857,55.921,4.289,156684.000,395.833
106,167478.212,409.348,65.789,4.652,167544.000,409.321
107,161191.473,401.587,60.526,4.462,161252.000,401.562
108,156238.476,395.372,60.526,4.462,156299.000,395.347
109,181123.001,425.703,75.000,4.967,181198.000,425.674
110,153523.766,391.918,57.237,4.339,153581.000,391.894
111,134726.023,367.145,51.974,4.135,134778.000,367.121
112,192402.445,438.764,83.553,5.243,192486.000,438.732
113,158438.117,398.141,58.882,4.401,158497.000,398.117
114,156696.133,395.949,59.868,4.438,156756.000,395.924
115,133454.697,365.410,52.303,4.148,133507.000,365.386
116,175351.931,418.862,70.066,4.801,175422.000,418.834
117,148510.068,385.465,54.934,4.251,148565.000,385.441
118,155109.792,393.940,59.211,4.413,155169.000,393.915
119,159169.813,399.063,61.184,4.486,159231.000,399.038
120,151088.451,388.801,58.553,4.389,151147.000,388.776
121,149676.451,386.981,58.553,4.389,149735.000,386.956
122,157469.118,396.922,58.882,4.401,157528.000,396.898
123,171960.278,414.794,70.724,4.823,172031.000,414.766
124,175555.945,419.107,71.053,4.835,175627.000,419.079
125,110835.540,333.000,40.461,3.648,110876.000,332.980
126,154189.791,392.770,59.211,4.413,154249.000,392.745
127,179834.986,424.186,74.013,4.934,179909.000,424.157
128,136156.685,369.087,51.316,4.109,136208.000,369.064
129,127081.315,356.575,48.684,4.002,127130.000,356.553
130,174956.290,418.392,71.711,4.857,175028.000,418.363
131,124477.314,352.905,48.684,4.002,124526.000,352.882
132,148863.726,385.922,54.276,4.225,148918.000,385.899
133,146530.722,382.888,54.276,4.225,146585.000,382.864
134,163316.161,404.226,61.842,4.510,163378.000,404.200
135,159092.763,398.960,57.237,4.339,159150.000,398.936
136,137742.645,371.224,48.355,3.988,137791.000,371.202
137,148184.398,385.042,54.605,4.238,148239.000,385.018
138,133127.670,364.958,50.329,4.069,133178.000,364.936
139,136110.014,369.023,50.987,4.095,136161.000,369.000
140,173457.580,416.592,68.421,4.744,173526.000,416.565
141,148827.724,385.875,54.276,4.225,148882.000,385.852
142,153021.751,391.275,56.250,4.302,153078.000,391.252
143,171846.923,414.655,69.079,4.767,171916.000,414.628
144,168161.212,410.181,65.789,4.652,168227.000,410.155
145,144934.028,380.793,51.974,4.135,144986.000,380.770
146,185342.014,430.631,75.987,5.000,185418.000,430.602
147,155017.090,393.818,56.908,4.327,155074.000,393.794
148,178765.290,422.919,71.711,4.857,178837.000,422.891
149,126340.288,355.531,46.711,3.920,126387.000,355.509
150,169272.220,411.535,66.776,4.687,169339.000,411.508
151,149804.080,387.141,55.921,4.289,149860.000,387.118
152,134433.012,366.743,50.987,4.095,134484.000,366.721
